Lontitude,Latitude,StartYear,disturb_duration,recovery_duration,Disturbance_Depth,depth/disturb_year,depth*disturb_year,depth/recovery_year,depth*recovery_year,depth/totalYear,depth*totalYear,Disturbance
123.341,45.275,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.343,45.275,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.345,45.275,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.347,45.275,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.349,45.275,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.351,45.275,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.353,45.275,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.355,45.275,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.357,45.275,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.359,45.275,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.361,45.275,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.341,45.277,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.343,45.277,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.345,45.277,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.347,45.277,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.349,45.277,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.351,45.277,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.353,45.277,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.355,45.277,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.357,45.277,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.359,45.277,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.361,45.277,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.341,45.279,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.343,45.279,1986,1,0,4.27,4.27,4.27,0,0,4.27,4.27,Afforestation
123.345,45.279,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.347,45.279,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.349,45.279,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.351,45.279,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.353,45.279,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.355,45.279,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.357,45.279,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.359,45.279,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.329,45.281,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.339,45.281,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.341,45.281,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.343,45.281,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.345,45.281,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.347,45.281,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.349,45.281,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.351,45.281,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.353,45.281,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.355,45.281,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.357,45.281,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.359,45.281,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.361,45.281,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.341,45.283,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.341,45.285,1986,1,0,0.2,0.2,0.2,0,0,0.2,0.2,Afforestation
123.319,45.287,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.361,45.287,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.319,45.289,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.365,45.289,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.371,45.289,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.323,45.291,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.363,45.291,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.365,45.291,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.367,45.291,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.369,45.291,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.377,45.291,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.379,45.291,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.381,45.291,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.363,45.293,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.367,45.293,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.373,45.293,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.375,45.293,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.377,45.293,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.379,45.293,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.381,45.293,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.383,45.293,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.377,45.295,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.347,45.297,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.375,45.297,1986,2,0,-102.03,-51.015,-204.06,0,0,-51.015,-204.06,Afforestation
123.377,45.297,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.379,45.297,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.381,45.297,1986,1,0,3.16,3.16,3.16,0,0,3.16,3.16,Afforestation
123.383,45.298,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.385,45.298,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.335,45.299,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.367,45.299,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.369,45.299,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.371,45.299,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.373,45.299,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.379,45.299,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.381,45.299,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.323,45.301,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.335,45.301,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.337,45.301,1986,0,0,0,0,0,0,0,0,0,Afforestation
123.339,45.301,1986,0,0,0,0,0,0,0,0,0,Afforestation
