Lontitude,Latitude,StartYear,disturb_duration,recovery_duration,Disturbance_Depth,depth/disturb_year,depth*disturb_year,depth/recovery_year,depth*recovery_year,depth/totalYear,depth*totalYear,Disturbance
-123.151,44.01,1986,0,0,0,0,0,0,0,0,0,Afforestation
-123.371,44.01,1986,0,0,0,0,0,0,0,0,0,Afforestation
-123.421,44.01,1986,0,0,0,0,0,0,0,0,0,Afforestation
-123.888,44.01,1986,0,0,0,0,0,0,0,0,0,Afforestation
-123.898,44.01,1986,0,0,0,0,0,0,0,0,0,Afforestation
-122.589,44.04,1986,0,0,0,0,0,0,0,0,0,Afforestation
-122.649,44.04,1986,0,0,0,0,0,0,0,0,0,Afforestation
-122.809,44.04,1986,0,0,0,0,0,0,0,0,0,Afforestation
-122.839,44.04,1986,0,0,0,0,0,0,0,0,0,Afforestation
-123.618,44.04,1986,0,0,0,0,0,0,0,0,0,Afforestation
-123.628,44.04,1986,0,0,0,0,0,0,0,0,0,Afforestation
-123.708,44.04,1986,0,0,0,0,0,0,0,0,0,Afforestation
-123.808,44.04,1986,0,0,0,0,0,0,0,0,0,Afforestation
-123.828,44.04,1977,10,0,-502.26,-50.226,-5022.6,0,0,-50.226,-5022.6,Afforestation
-123.848,44.04,1986,0,0,0,0,0,0,0,0,0,Afforestation
-123.938,44.04,1986,0,0,0,0,0,0,0,0,0,Afforestation
-123.678,44.1,1986,0,0,0,0,0,0,0,0,0,Afforestation
-123.908,44.1,1986,0,0,0,0,0,0,0,0,0,Afforestation
-123.598,44.3,1986,0,0,0,0,0,0,0,0,0,Afforestation
-123.668,44.3,1986,0,0,0,0,0,0,0,0,0,Afforestation
-123.738,44.3,1986,0,0,0,0,0,0,0,0,0,Afforestation
-123.868,44.3,1986,0,0,0,0,0,0,0,0,0,Afforestation
-123.918,44.3,1986,0,0,0,0,0,0,0,0,0,Afforestation
-122.728,44.4,1986,0,0,0,0,0,0,0,0,0,Afforestation
-123.148,44.4,1986,0,0,0,0,0,0,0,0,0,Afforestation
-123.678,44.4,1986,0,0,0,0,0,0,0,0,0,Afforestation
