Lontitude,Latitude,StartYear,disturb_duration,recovery_duration,Disturbance_Depth,depth/disturb_year,depth*disturb_year,depth/recovery_year,depth*recovery_year,depth/totalYear,depth*totalYear,Disturbance
-123.85,46.58,2003,1,11,842.605,842.605,842.605,76.60045455,9268.655,70.21708333,10111.26,Deforestation
-123.94,46.9,1994,1,15,807.581,807.581,807.581,53.83873333,12113.715,50.4738125,12921.296,Deforestation
-124.07,47.06,1995,1,22,193.8,193.8,193.8,8.809090909,4263.6,8.426086957,4457.4,Deforestation
-124.08,47.06,1998,1,19,179.17,179.17,179.17,9.43,3404.23,8.9585,3583.4,Deforestation
-123.95,47.1,1999,1,14,751.925,751.925,751.925,53.70892857,10526.95,50.12833333,11278.875,Deforestation
-124.3,47.1,1993,1,19,460.579,460.579,460.579,24.241,8751.001,23.02895,9211.58,Deforestation
-124.05,47.3,2004,2,12,781.796,390.898,1563.592,65.14966667,9381.552,55.84257143,10945.144,Deforestation
-123.5,48,2003,3,13,452.806,150.9353333,1358.418,34.83123077,5886.478,28.300375,7244.896,Deforestation
-124,48,1984,1,30,698.234,698.234,698.234,23.27446667,20947.02,22.52367742,21645.254,Deforestation
-124.5,48,1985,1,20,802.671,802.671,802.671,40.13355,16053.42,38.22242857,16856.091,Deforestation
-123.56,45.91,1984,1,18,756.191,756.191,756.191,42.01061111,13611.438,39.79952632,14367.629,Deforestation
-123.68,45.42,1990,2,21,559.63,279.815,1119.26,26.64904762,11752.23,24.33173913,12871.49,Deforestation
