Lontitude,Latitude,StartYear,disturb_duration,recovery_duration,Disturbance_Depth,depth/disturb_year,depth*disturb_year,depth/recovery_year,depth*recovery_year,depth/totalYear,depth*totalYear,Disturbance
-123.2,43.2,2013,1,4,698.127,698.127,698.127,174.53175,2792.508,139.6254,3490.635,Fire
-123.9,44.5,2009,2,7,1006.374,503.187,2012.748,143.7677143,7044.618,111.8193333,9057.366,Fire
-123.8,46.39,2007,2,9,853.358,426.679,1706.716,94.81755556,7680.222,77.578,9386.938,Fire
-123.88,46.4,1995,1,10,736.272,736.272,736.272,73.6272,7362.72,66.93381818,8098.992,Fire
-122,47,1984,1,2,161.624,161.624,161.624,80.812,323.248,53.87466667,484.872,Fire
-124.08,47.29,2011,2,5,573.048,286.524,1146.096,114.6096,2865.24,81.864,4011.336,Fire
-123.54,46.74,1996,2,8,451.928,225.964,903.856,56.491,3615.424,45.1928,4519.28,Fire
-123.13,46.92,2007,1,7,426.938,426.938,426.938,60.99114286,2988.566,53.36725,3415.504,Fire
-124,47.71,1998,1,7,300.26,300.26,300.26,42.89428571,2101.82,37.5325,2402.08,Fire
-123.23,47.2,1995,1,8,533.296,533.296,533.296,66.662,4266.368,59.25511111,4799.664,Fire
